Cluster ID,confidence_score,Id,duns,bp name,addr,postl
29,1.0,60,221097145,Mitsubishi Chemical AdvancedMaterials UK LTD,"Woodhouse Road,Todmorden Lancashire",OL14 5TP

12,0.9534808,61,221155588,Mitsubishi Tanabe PharmaEurope Ltd.,"69 Old Broad Street,London",EC2M 1QS

12,0.9534808,62,221155588,Mitsubishi Tanabe PharmaEurope Ltd.,"Old Broad St,London",EC2M 1QS

30,1.0,63,238384528,Mitsubishi Chemical UK Ltd.,"9 Cheltenham Rd.,Stockton-on-Tees",TS182AD

13,0.9534808601757077,64,238384528,Mitsubishi Chemical UK Ltd.,"Cassel Works New Road,Billingham",TS23 1LE

13,0.9534808601757077,65,238384528,Mitsubishi Chemical UK Ltd.,"New Road,Billingham",TS23 1LE

13,0.9534808601757077,66,238384528,Mitsubishi Chemical UK Ltd.Methacrylates Division,"Cassel Works New Road,Billingham",TS23 1LE

13,0.9534808601757077,67,238384528,Mitsubishi Chemical UK Ltd.Methacrylates DivisionCassel Works,"New Road,Billingham",TS23 1LE

1,0.9534813373263017,68,238384528,Mitsubishi Chemical UK Ltd.SoarnoL Division,"Soarnol House, Saltend,Hull",HU128DS

1,0.9534813373263017,69,238384528,Mitsubishi Chemical UK Ltd.Soarnol Division,"Soarnol House, Saltend,Hull, East Yorkshire",HU12 8DS

14,0.9534814,70,300485679,Mitsubishi Plastics Euro Asia#27210NICHT BUCHEN,"Baglarbasi Kisikli Cad, Sar Merkezi,Altunizade Istanbul",NULL

15,0.9534814349258898,71,312951658,MITSUBISHI CHEMICAL EUROPE GMBH,NULL,NULL

31,1.0,72,416612588,Mitsubishi Motors Europe B.V.,"Mitsubishi Avenue 21,Born",6121 SH

16,0.95348114,73,417015492,Mitsubishi Chemical AdvancedMaterials B.V.,"Anthony Fokkerweg 2,Almelo",7602PK

16,0.95348114,74,417015492,Mitsubishi Chemical AdvancedMaterials B.V.,"Anthony Fokkerweg 2,PK Almelo",7602

2,0.9534807971359478,75,418464574,Mitsubishi Logistics Europe B. V.,"Kreuzstrasse 20,Düsseldorf",40210
