Id,duns,bp name,addr,postl
43,050871698,Mitsubishi Chemical America,"401, Volvo Parkway,USA-23320 Chesapeake, VA",NULL
44,050871698,Mitsubishi Chemical America IncPerformance Polymers Division,"350 N Buckeye St,Bellevue (Ohio)",44811
45,050871698,"Mitsubishi Chemical America, Inc.","12220 Strang Rd.,Texas",77571
46,050871698,"Mitsubishi Chemical America, Inc.","12220 Strang Road,La Porte, TX",77571-9740
47,050871698,"Mitsubishi Chemical America, Inc.","9115 Harris Corners Parkway Suite 3,Charlotte, NC 28269",NULL
48,050871698,"Mitsubishi Chemical America, Inc.","9115 Harris Corners Parkway, Suite,NC Charlotte",28269
49,050871698,"Mitsubishi Chemical America, Inc.Attn: Josh Wolfe","12220 Strang Road,,La Porte, TX",77571-9740
50,050871698,"Mitsubishi Chemical America, Inc.Information Technology Center Ameri","9115 Harris Corners Parkway,,Charlotte NC",28269
51,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers Division","1630 OLD HIGHWAY 14,GREER SC",29651-6516
52,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers Division","350 N Buckeye Street,Bellevue, OH",44811
53,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers DivisionAccounts Payable","350 N. Buckeye Street,Bellevue, OH",44811
54,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers DivisionGreer PlantMrs. Julie Todd","2001 Hood Road,US-Greer, SC",29652
55,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652",NULL
56,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652, USA.",NULL
57,050871698,"Mitsubishi Chemical America, IncSporting Goods Division","1945 KELLOGG AVE.,CARLSBAD, CA",92008
58,050871698,Mitsubishi Chemical PerformancePolymers Inc.,"350 North Buckeye Road,Bellevue, Ohio",44811
59,080483587,Mitsubishi Chemical AdvancedMaterials Inc.,"2120 Fairmont Avenue,Reading PA 19612-4235",NULL
60,221097145,Mitsubishi Chemical AdvancedMaterials UK LTD,"Woodhouse Road,Todmorden Lancashire",OL14 5TP
61,221155588,Mitsubishi Tanabe PharmaEurope Ltd.,"69 Old Broad Street,London",EC2M 1QS
62,221155588,Mitsubishi Tanabe PharmaEurope Ltd.,"Old Broad St,London",EC2M 1QS
63,238384528,Mitsubishi Chemical UK Ltd.,"9 Cheltenham Rd.,Stockton-on-Tees",TS182AD
64,238384528,Mitsubishi Chemical UK Ltd.,"Cassel Works New Road,Billingham",TS23 1LE
65,238384528,Mitsubishi Chemical UK Ltd.,"New Road,Billingham",TS23 1LE
66,238384528,Mitsubishi Chemical UK Ltd.Methacrylates Division,"Cassel Works New Road,Billingham",TS23 1LE
67,238384528,Mitsubishi Chemical UK Ltd.Methacrylates DivisionCassel Works,"New Road,Billingham",TS23 1LE
68,238384528,Mitsubishi Chemical UK Ltd.SoarnoL Division,"Soarnol House, Saltend,Hull",HU128DS
